id	name	valenceClass	arousalClass
127	MEDIAEVAL00127	0	0
128	MEDIAEVAL00128	-1	0
129	MEDIAEVAL00129	-1	0
130	MEDIAEVAL00130	-1	0
131	MEDIAEVAL00131	-1	1
132	MEDIAEVAL00132	-1	0
133	MEDIAEVAL00133	-1	0
134	MEDIAEVAL00134	-1	0
135	MEDIAEVAL00135	0	0
136	MEDIAEVAL00136	0	0
137	MEDIAEVAL00137	0	0
138	MEDIAEVAL00138	0	0
139	MEDIAEVAL00139	-1	0
140	MEDIAEVAL00140	0	0
141	MEDIAEVAL00141	-1	0
142	MEDIAEVAL00142	-1	1
143	MEDIAEVAL00143	-1	0
144	MEDIAEVAL00144	-1	1
145	MEDIAEVAL00145	-1	0
146	MEDIAEVAL00146	-1	0
147	MEDIAEVAL00147	-1	0
148	MEDIAEVAL00148	-1	1
149	MEDIAEVAL00149	0	0
150	MEDIAEVAL00150	0	-1
151	MEDIAEVAL00151	0	0
152	MEDIAEVAL00152	0	0
153	MEDIAEVAL00153	0	0
154	MEDIAEVAL00154	-1	0
155	MEDIAEVAL00155	1	0
156	MEDIAEVAL00156	0	0
157	MEDIAEVAL00157	1	0
158	MEDIAEVAL00158	0	0
159	MEDIAEVAL00159	0	0
160	MEDIAEVAL00160	0	0
161	MEDIAEVAL00161	1	-1
162	MEDIAEVAL00162	0	0
163	MEDIAEVAL00163	0	0
164	MEDIAEVAL00164	0	0
165	MEDIAEVAL00165	0	0
166	MEDIAEVAL00166	1	0
167	MEDIAEVAL00167	1	0
168	MEDIAEVAL00168	1	0
169	MEDIAEVAL00169	1	0
170	MEDIAEVAL00170	0	-1
171	MEDIAEVAL00171	1	-1
172	MEDIAEVAL00172	0	-1
173	MEDIAEVAL00173	0	-1
174	MEDIAEVAL00174	0	0
175	MEDIAEVAL00175	0	-1
176	MEDIAEVAL00176	-1	0
177	MEDIAEVAL00177	0	0
178	MEDIAEVAL00178	0	-1
179	MEDIAEVAL00179	1	0
180	MEDIAEVAL00180	0	0
181	MEDIAEVAL00181	-1	0
182	MEDIAEVAL00182	0	0
183	MEDIAEVAL00183	0	0
184	MEDIAEVAL00184	0	-1
185	MEDIAEVAL00185	0	0
186	MEDIAEVAL00186	1	0
187	MEDIAEVAL00187	0	0
188	MEDIAEVAL00188	1	-1
189	MEDIAEVAL00189	1	0
190	MEDIAEVAL00190	0	-1
191	MEDIAEVAL00191	0	-1
192	MEDIAEVAL00192	0	0
193	MEDIAEVAL00193	1	-1
194	MEDIAEVAL00194	-1	1
195	MEDIAEVAL00195	-1	1
196	MEDIAEVAL00196	-1	1
197	MEDIAEVAL00197	-1	1
198	MEDIAEVAL00198	-1	1
199	MEDIAEVAL00199	-1	0
200	MEDIAEVAL00200	-1	1
201	MEDIAEVAL00201	-1	0
202	MEDIAEVAL00202	-1	1
203	MEDIAEVAL00203	-1	1
204	MEDIAEVAL00204	0	-1
205	MEDIAEVAL00205	0	-1
206	MEDIAEVAL00206	0	0
207	MEDIAEVAL00207	0	1
208	MEDIAEVAL00208	-1	0
209	MEDIAEVAL00209	-1	1
210	MEDIAEVAL00210	-1	0
211	MEDIAEVAL00211	-1	0
212	MEDIAEVAL00212	-1	0
213	MEDIAEVAL00213	-1	1
214	MEDIAEVAL00214	-1	1
215	MEDIAEVAL00215	-1	0
216	MEDIAEVAL00216	-1	0
217	MEDIAEVAL00217	-1	0
218	MEDIAEVAL00218	0	0
219	MEDIAEVAL00219	0	0
220	MEDIAEVAL00220	-1	0
221	MEDIAEVAL00221	0	0
222	MEDIAEVAL00222	-1	0
223	MEDIAEVAL00223	-1	0
224	MEDIAEVAL00224	0	0
225	MEDIAEVAL00225	0	-1
226	MEDIAEVAL00226	1	-1
227	MEDIAEVAL00227	1	-1
228	MEDIAEVAL00228	0	-1
229	MEDIAEVAL00229	0	0
230	MEDIAEVAL00230	0	-1
231	MEDIAEVAL00231	0	0
232	MEDIAEVAL00232	0	0
233	MEDIAEVAL00233	0	0
234	MEDIAEVAL00234	0	-1
235	MEDIAEVAL00235	0	-1
236	MEDIAEVAL00236	0	0
237	MEDIAEVAL00237	-1	0
238	MEDIAEVAL00238	0	0
239	MEDIAEVAL00239	1	0
240	MEDIAEVAL00240	0	-1
241	MEDIAEVAL00241	0	-1
242	MEDIAEVAL00242	1	-1
243	MEDIAEVAL00243	0	-1
244	MEDIAEVAL00244	1	0
245	MEDIAEVAL00245	0	-1
246	MEDIAEVAL00246	-1	-1
247	MEDIAEVAL00247	0	0
248	MEDIAEVAL00248	0	-1
249	MEDIAEVAL00249	1	-1
250	MEDIAEVAL00250	-1	-1
251	MEDIAEVAL00251	0	0
252	MEDIAEVAL00252	0	0
253	MEDIAEVAL00253	0	0
254	MEDIAEVAL00254	0	0
255	MEDIAEVAL00255	-1	0
256	MEDIAEVAL00256	-1	0
257	MEDIAEVAL00257	0	0
258	MEDIAEVAL00258	0	0
259	MEDIAEVAL00259	0	0
260	MEDIAEVAL00260	0	-1
261	MEDIAEVAL00261	1	0
262	MEDIAEVAL00262	0	0
263	MEDIAEVAL00263	-1	1
264	MEDIAEVAL00264	0	0
265	MEDIAEVAL00265	0	0
266	MEDIAEVAL00266	0	0
267	MEDIAEVAL00267	0	0
268	MEDIAEVAL00268	0	-1
269	MEDIAEVAL00269	0	0
270	MEDIAEVAL00270	0	-1
271	MEDIAEVAL00271	0	-1
272	MEDIAEVAL00272	0	-1
273	MEDIAEVAL00273	0	-1
274	MEDIAEVAL00274	1	0
275	MEDIAEVAL00275	1	-1
276	MEDIAEVAL00276	0	0
277	MEDIAEVAL00277	0	-1
278	MEDIAEVAL00278	0	0
279	MEDIAEVAL00279	0	-1
280	MEDIAEVAL00280	0	0
281	MEDIAEVAL00281	0	0
282	MEDIAEVAL00282	1	0
283	MEDIAEVAL00283	0	0
284	MEDIAEVAL00284	0	0
285	MEDIAEVAL00285	0	0
286	MEDIAEVAL00286	1	0
287	MEDIAEVAL00287	1	0
288	MEDIAEVAL00288	1	0
289	MEDIAEVAL00289	0	0
290	MEDIAEVAL00290	0	0
291	MEDIAEVAL00291	0	0
292	MEDIAEVAL00292	0	0
293	MEDIAEVAL00293	1	-1
294	MEDIAEVAL00294	0	0
295	MEDIAEVAL00295	0	0
296	MEDIAEVAL00296	0	0
297	MEDIAEVAL00297	0	0
298	MEDIAEVAL00298	1	0
299	MEDIAEVAL00299	1	0
300	MEDIAEVAL00300	1	-1
301	MEDIAEVAL00301	0	0
302	MEDIAEVAL00302	0	0
303	MEDIAEVAL00303	0	-1
304	MEDIAEVAL00304	1	-1
305	MEDIAEVAL00305	1	-1
306	MEDIAEVAL00306	1	0
307	MEDIAEVAL00307	0	0
308	MEDIAEVAL00308	0	0
309	MEDIAEVAL00309	0	0
310	MEDIAEVAL00310	1	0
311	MEDIAEVAL00311	1	0
312	MEDIAEVAL00312	0	0
313	MEDIAEVAL00313	0	-1
314	MEDIAEVAL00314	0	0
315	MEDIAEVAL00315	0	0
316	MEDIAEVAL00316	0	-1
317	MEDIAEVAL00317	0	0
318	MEDIAEVAL00318	-1	1
319	MEDIAEVAL00319	0	0
320	MEDIAEVAL00320	1	0
321	MEDIAEVAL00321	0	0
322	MEDIAEVAL00322	0	0
323	MEDIAEVAL00323	0	-1
324	MEDIAEVAL00324	0	-1
325	MEDIAEVAL00325	1	-1
326	MEDIAEVAL00326	1	0
327	MEDIAEVAL00327	1	-1
328	MEDIAEVAL00328	1	0
329	MEDIAEVAL00329	1	-1
330	MEDIAEVAL00330	1	0
331	MEDIAEVAL00331	-1	1
332	MEDIAEVAL00332	-1	1
333	MEDIAEVAL00333	-1	1
334	MEDIAEVAL00334	-1	1
335	MEDIAEVAL00335	-1	0
336	MEDIAEVAL00336	-1	0
337	MEDIAEVAL00337	-1	1
338	MEDIAEVAL00338	-1	1
339	MEDIAEVAL00339	-1	1
340	MEDIAEVAL00340	-1	1
341	MEDIAEVAL00341	-1	1
342	MEDIAEVAL00342	-1	1
343	MEDIAEVAL00343	-1	1
344	MEDIAEVAL00344	-1	1
345	MEDIAEVAL00345	-1	1
346	MEDIAEVAL00346	-1	1
347	MEDIAEVAL00347	-1	1
348	MEDIAEVAL00348	-1	1
349	MEDIAEVAL00349	-1	0
350	MEDIAEVAL00350	-1	0
351	MEDIAEVAL00351	-1	0
352	MEDIAEVAL00352	-1	0
353	MEDIAEVAL00353	-1	0
354	MEDIAEVAL00354	0	0
355	MEDIAEVAL00355	-1	0
356	MEDIAEVAL00356	-1	0
357	MEDIAEVAL00357	-1	0
358	MEDIAEVAL00358	0	0
359	MEDIAEVAL00359	0	0
360	MEDIAEVAL00360	0	-1
361	MEDIAEVAL00361	0	0
362	MEDIAEVAL00362	-1	0
363	MEDIAEVAL00363	-1	0
364	MEDIAEVAL00364	-1	0
365	MEDIAEVAL00365	-1	0
366	MEDIAEVAL00366	0	-1
367	MEDIAEVAL00367	-1	0
368	MEDIAEVAL00368	0	0
369	MEDIAEVAL00369	0	0
370	MEDIAEVAL00370	-1	0
371	MEDIAEVAL00371	1	-1
372	MEDIAEVAL00372	1	-1
373	MEDIAEVAL00373	1	-1
374	MEDIAEVAL00374	1	-1
375	MEDIAEVAL00375	1	-1
376	MEDIAEVAL00376	-1	1
377	MEDIAEVAL00377	-1	0
378	MEDIAEVAL00378	-1	0
379	MEDIAEVAL00379	-1	0
380	MEDIAEVAL00380	0	-1
381	MEDIAEVAL00381	-1	1
382	MEDIAEVAL00382	-1	0
383	MEDIAEVAL00383	0	0
384	MEDIAEVAL00384	1	0
385	MEDIAEVAL00385	-1	1
386	MEDIAEVAL00386	-1	1
387	MEDIAEVAL00387	-1	1
388	MEDIAEVAL00388	-1	0
389	MEDIAEVAL00389	1	-1
390	MEDIAEVAL00390	1	-1
391	MEDIAEVAL00391	1	-1
392	MEDIAEVAL00392	0	-1
393	MEDIAEVAL00393	-1	1
394	MEDIAEVAL00394	-1	0
395	MEDIAEVAL00395	-1	1
396	MEDIAEVAL00396	0	1
397	MEDIAEVAL00397	-1	1
398	MEDIAEVAL00398	-1	-1
399	MEDIAEVAL00399	-1	-1
400	MEDIAEVAL00400	-1	-1
401	MEDIAEVAL00401	-1	0
402	MEDIAEVAL00402	0	0
403	MEDIAEVAL00403	-1	0
404	MEDIAEVAL00404	-1	0
405	MEDIAEVAL00405	-1	0
406	MEDIAEVAL00406	-1	1
407	MEDIAEVAL00407	-1	1
408	MEDIAEVAL00408	-1	1
409	MEDIAEVAL00409	-1	1
410	MEDIAEVAL00410	1	-1
411	MEDIAEVAL00411	1	0
412	MEDIAEVAL00412	-1	0
413	MEDIAEVAL00413	1	0
414	MEDIAEVAL00414	1	0
415	MEDIAEVAL00415	1	0
416	MEDIAEVAL00416	0	-1
417	MEDIAEVAL00417	1	0
418	MEDIAEVAL00418	1	0
419	MEDIAEVAL00419	0	0
420	MEDIAEVAL00420	0	0
421	MEDIAEVAL00421	1	-1
422	MEDIAEVAL00422	0	0
423	MEDIAEVAL00423	0	0
424	MEDIAEVAL00424	0	-1
425	MEDIAEVAL00425	1	-1
426	MEDIAEVAL00426	1	-1
427	MEDIAEVAL00427	1	0
428	MEDIAEVAL00428	1	-1
429	MEDIAEVAL00429	1	-1
430	MEDIAEVAL00430	1	-1
431	MEDIAEVAL00431	1	0
432	MEDIAEVAL00432	1	-1
433	MEDIAEVAL00433	1	0
434	MEDIAEVAL00434	1	0
435	MEDIAEVAL00435	1	-1
436	MEDIAEVAL00436	1	-1
437	MEDIAEVAL00437	1	-1
438	MEDIAEVAL00438	1	0
439	MEDIAEVAL00439	1	-1
440	MEDIAEVAL00440	1	-1
441	MEDIAEVAL00441	1	-1
442	MEDIAEVAL00442	0	0
443	MEDIAEVAL00443	0	1
444	MEDIAEVAL00444	0	0
445	MEDIAEVAL00445	1	-1
446	MEDIAEVAL00446	0	0
447	MEDIAEVAL00447	1	-1
448	MEDIAEVAL00448	0	0
449	MEDIAEVAL00449	0	0
450	MEDIAEVAL00450	-1	0
451	MEDIAEVAL00451	-1	0
452	MEDIAEVAL00452	-1	1
453	MEDIAEVAL00453	-1	0
454	MEDIAEVAL00454	-1	0
455	MEDIAEVAL00455	1	-1
456	MEDIAEVAL00456	1	0
457	MEDIAEVAL00457	0	0
458	MEDIAEVAL00458	0	0
459	MEDIAEVAL00459	0	0
460	MEDIAEVAL00460	0	0
461	MEDIAEVAL00461	0	0
462	MEDIAEVAL00462	0	0
463	MEDIAEVAL00463	-1	0
464	MEDIAEVAL00464	0	0
465	MEDIAEVAL00465	0	0
466	MEDIAEVAL00466	1	0
467	MEDIAEVAL00467	1	0
468	MEDIAEVAL00468	-1	0
469	MEDIAEVAL00469	0	0
470	MEDIAEVAL00470	0	0
471	MEDIAEVAL00471	0	0
472	MEDIAEVAL00472	0	0
473	MEDIAEVAL00473	0	-1
474	MEDIAEVAL00474	1	0
475	MEDIAEVAL00475	0	0
476	MEDIAEVAL00476	-1	0
477	MEDIAEVAL00477	0	0
478	MEDIAEVAL00478	1	0
479	MEDIAEVAL00479	0	0
480	MEDIAEVAL00480	-1	1
481	MEDIAEVAL00481	0	-1
482	MEDIAEVAL00482	1	-1
483	MEDIAEVAL00483	0	-1
484	MEDIAEVAL00484	1	0
485	MEDIAEVAL00485	-1	0
486	MEDIAEVAL00486	-1	1
487	MEDIAEVAL00487	0	0
488	MEDIAEVAL00488	-1	0
489	MEDIAEVAL00489	-1	1
490	MEDIAEVAL00490	-1	0
491	MEDIAEVAL00491	-1	0
492	MEDIAEVAL00492	-1	0
493	MEDIAEVAL00493	-1	0
494	MEDIAEVAL00494	-1	1
495	MEDIAEVAL00495	-1	1
496	MEDIAEVAL00496	-1	0
497	MEDIAEVAL00497	-1	0
498	MEDIAEVAL00498	-1	0
499	MEDIAEVAL00499	-1	0
500	MEDIAEVAL00500	-1	1
501	MEDIAEVAL00501	-1	1
502	MEDIAEVAL00502	-1	0
503	MEDIAEVAL00503	-1	0
504	MEDIAEVAL00504	-1	-1
505	MEDIAEVAL00505	1	0
506	MEDIAEVAL00506	1	-1
507	MEDIAEVAL00507	1	-1
508	MEDIAEVAL00508	1	0
509	MEDIAEVAL00509	0	-1
510	MEDIAEVAL00510	1	-1
511	MEDIAEVAL00511	1	-1
512	MEDIAEVAL00512	1	-1
513	MEDIAEVAL00513	0	0
514	MEDIAEVAL00514	-1	0
515	MEDIAEVAL00515	-1	0
516	MEDIAEVAL00516	0	0
517	MEDIAEVAL00517	0	0
518	MEDIAEVAL00518	-1	0
519	MEDIAEVAL00519	-1	0
520	MEDIAEVAL00520	-1	0
521	MEDIAEVAL00521	0	0
522	MEDIAEVAL00522	0	-1
523	MEDIAEVAL00523	0	-1
524	MEDIAEVAL00524	0	-1
525	MEDIAEVAL00525	-1	0
526	MEDIAEVAL00526	0	0
527	MEDIAEVAL00527	0	0
528	MEDIAEVAL00528	0	0
529	MEDIAEVAL00529	0	0
530	MEDIAEVAL00530	0	0
531	MEDIAEVAL00531	0	-1
532	MEDIAEVAL00532	0	0
533	MEDIAEVAL00533	0	0
534	MEDIAEVAL00534	-1	1
535	MEDIAEVAL00535	-1	1
536	MEDIAEVAL00536	-1	0
537	MEDIAEVAL00537	-1	1
538	MEDIAEVAL00538	1	-1
539	MEDIAEVAL00539	1	-1
540	MEDIAEVAL00540	-1	0
541	MEDIAEVAL00541	-1	0
542	MEDIAEVAL00542	0	-1
543	MEDIAEVAL00543	-1	0
544	MEDIAEVAL00544	0	0
545	MEDIAEVAL00545	-1	0
546	MEDIAEVAL00546	0	0
547	MEDIAEVAL00547	0	0
548	MEDIAEVAL00548	0	0
549	MEDIAEVAL00549	-1	0
550	MEDIAEVAL00550	-1	0
551	MEDIAEVAL00551	-1	0
552	MEDIAEVAL00552	-1	0
553	MEDIAEVAL00553	0	-1
554	MEDIAEVAL00554	-1	0
555	MEDIAEVAL00555	-1	0
556	MEDIAEVAL00556	0	0
557	MEDIAEVAL00557	-1	1
558	MEDIAEVAL00558	-1	1
559	MEDIAEVAL00559	-1	1
560	MEDIAEVAL00560	-1	1
561	MEDIAEVAL00561	-1	0
562	MEDIAEVAL00562	-1	0
563	MEDIAEVAL00563	-1	0
564	MEDIAEVAL00564	0	0
565	MEDIAEVAL00565	-1	0
566	MEDIAEVAL00566	-1	0
567	MEDIAEVAL00567	0	0
568	MEDIAEVAL00568	0	0
569	MEDIAEVAL00569	0	0
570	MEDIAEVAL00570	0	0
571	MEDIAEVAL00571	-1	0
572	MEDIAEVAL00572	-1	0
573	MEDIAEVAL00573	-1	1
574	MEDIAEVAL00574	-1	1
575	MEDIAEVAL00575	-1	1
576	MEDIAEVAL00576	-1	1
577	MEDIAEVAL00577	-1	1
578	MEDIAEVAL00578	-1	1
579	MEDIAEVAL00579	-1	0
580	MEDIAEVAL00580	0	0
581	MEDIAEVAL00581	-1	0
582	MEDIAEVAL00582	-1	1
583	MEDIAEVAL00583	-1	1
584	MEDIAEVAL00584	-1	1
585	MEDIAEVAL00585	-1	1
586	MEDIAEVAL00586	-1	1
587	MEDIAEVAL00587	-1	1
588	MEDIAEVAL00588	-1	1
589	MEDIAEVAL00589	-1	1
590	MEDIAEVAL00590	1	-1
591	MEDIAEVAL00591	0	0
592	MEDIAEVAL00592	0	0
593	MEDIAEVAL00593	-1	0
594	MEDIAEVAL00594	-1	0
595	MEDIAEVAL00595	-1	0
596	MEDIAEVAL00596	-1	0
597	MEDIAEVAL00597	0	0
598	MEDIAEVAL00598	0	0
599	MEDIAEVAL00599	-1	0
600	MEDIAEVAL00600	0	0
601	MEDIAEVAL00601	0	0
602	MEDIAEVAL00602	-1	0
603	MEDIAEVAL00603	0	-1
604	MEDIAEVAL00604	0	-1
605	MEDIAEVAL00605	0	-1
606	MEDIAEVAL00606	0	-1
607	MEDIAEVAL00607	0	0
608	MEDIAEVAL00608	0	0
609	MEDIAEVAL00609	0	0
610	MEDIAEVAL00610	1	0
611	MEDIAEVAL00611	-1	0
612	MEDIAEVAL00612	0	-1
613	MEDIAEVAL00613	0	0
614	MEDIAEVAL00614	0	0
615	MEDIAEVAL00615	-1	1
616	MEDIAEVAL00616	-1	1
617	MEDIAEVAL00617	-1	0
618	MEDIAEVAL00618	-1	0
619	MEDIAEVAL00619	-1	1
620	MEDIAEVAL00620	-1	1
621	MEDIAEVAL00621	-1	1
622	MEDIAEVAL00622	-1	1
623	MEDIAEVAL00623	-1	0
624	MEDIAEVAL00624	0	1
625	MEDIAEVAL00625	0	1
626	MEDIAEVAL00626	0	0
627	MEDIAEVAL00627	0	1
628	MEDIAEVAL00628	0	-1
629	MEDIAEVAL00629	-1	0
630	MEDIAEVAL00630	-1	0
631	MEDIAEVAL00631	-1	0
632	MEDIAEVAL00632	1	0
633	MEDIAEVAL00633	0	0
634	MEDIAEVAL00634	1	0
635	MEDIAEVAL00635	1	0
636	MEDIAEVAL00636	-1	0
637	MEDIAEVAL00637	0	0
638	MEDIAEVAL00638	1	0
639	MEDIAEVAL00639	0	0
640	MEDIAEVAL00640	1	0
641	MEDIAEVAL00641	1	0
642	MEDIAEVAL00642	-1	0
643	MEDIAEVAL00643	-1	0
644	MEDIAEVAL00644	0	0
645	MEDIAEVAL00645	-1	1
646	MEDIAEVAL00646	-1	0
647	MEDIAEVAL00647	-1	0
648	MEDIAEVAL00648	0	0
649	MEDIAEVAL00649	1	-1
650	MEDIAEVAL00650	-1	0
651	MEDIAEVAL00651	0	0
652	MEDIAEVAL00652	-1	0
653	MEDIAEVAL00653	0	0
654	MEDIAEVAL00654	-1	0
655	MEDIAEVAL00655	0	0
656	MEDIAEVAL00656	0	-1
657	MEDIAEVAL00657	0	0
658	MEDIAEVAL00658	0	0
659	MEDIAEVAL00659	-1	0
660	MEDIAEVAL00660	1	-1
661	MEDIAEVAL00661	0	0
662	MEDIAEVAL00662	1	0
663	MEDIAEVAL00663	-1	0
664	MEDIAEVAL00664	-1	0
665	MEDIAEVAL00665	-1	-1
666	MEDIAEVAL00666	0	-1
667	MEDIAEVAL00667	0	-1
668	MEDIAEVAL00668	-1	-1
669	MEDIAEVAL00669	0	-1
670	MEDIAEVAL00670	-1	0
671	MEDIAEVAL00671	0	0
672	MEDIAEVAL00672	1	0
673	MEDIAEVAL00673	0	-1
674	MEDIAEVAL00674	0	-1
675	MEDIAEVAL00675	0	0
676	MEDIAEVAL00676	0	0
677	MEDIAEVAL00677	-1	1
678	MEDIAEVAL00678	1	-1
679	MEDIAEVAL00679	0	0
680	MEDIAEVAL00680	0	0
681	MEDIAEVAL00681	0	0
682	MEDIAEVAL00682	0	0
683	MEDIAEVAL00683	1	0
684	MEDIAEVAL00684	0	0
685	MEDIAEVAL00685	0	-1
686	MEDIAEVAL00686	0	0
687	MEDIAEVAL00687	0	0
688	MEDIAEVAL00688	0	0
689	MEDIAEVAL00689	0	0
690	MEDIAEVAL00690	0	0
691	MEDIAEVAL00691	0	0
692	MEDIAEVAL00692	0	0
693	MEDIAEVAL00693	0	-1
694	MEDIAEVAL00694	0	-1
695	MEDIAEVAL00695	0	-1
696	MEDIAEVAL00696	1	-1
697	MEDIAEVAL00697	1	-1
698	MEDIAEVAL00698	0	-1
699	MEDIAEVAL00699	0	-1
700	MEDIAEVAL00700	0	0
701	MEDIAEVAL00701	0	-1
702	MEDIAEVAL00702	0	-1
703	MEDIAEVAL00703	1	0
704	MEDIAEVAL00704	0	-1
705	MEDIAEVAL00705	1	-1
706	MEDIAEVAL00706	0	-1
707	MEDIAEVAL00707	0	-1
708	MEDIAEVAL00708	0	-1
709	MEDIAEVAL00709	0	-1
710	MEDIAEVAL00710	0	0
711	MEDIAEVAL00711	0	-1
712	MEDIAEVAL00712	1	-1
713	MEDIAEVAL00713	0	-1
714	MEDIAEVAL00714	0	-1
715	MEDIAEVAL00715	0	0
716	MEDIAEVAL00716	-1	0
717	MEDIAEVAL00717	-1	0
718	MEDIAEVAL00718	-1	-1
719	MEDIAEVAL00719	0	0
720	MEDIAEVAL00720	0	-1
721	MEDIAEVAL00721	0	0
722	MEDIAEVAL00722	0	0
723	MEDIAEVAL00723	0	-1
724	MEDIAEVAL00724	-1	0
725	MEDIAEVAL00725	-1	0
726	MEDIAEVAL00726	-1	0
727	MEDIAEVAL00727	0	-1
728	MEDIAEVAL00728	0	-1
729	MEDIAEVAL00729	0	0
730	MEDIAEVAL00730	0	0
731	MEDIAEVAL00731	1	0
732	MEDIAEVAL00732	1	-1
733	MEDIAEVAL00733	-1	0
734	MEDIAEVAL00734	0	0
735	MEDIAEVAL00735	-1	0
736	MEDIAEVAL00736	-1	1
737	MEDIAEVAL00737	-1	1
738	MEDIAEVAL00738	-1	1
739	MEDIAEVAL00739	0	-1
740	MEDIAEVAL00740	0	0
741	MEDIAEVAL00741	0	0
742	MEDIAEVAL00742	0	0
743	MEDIAEVAL00743	0	0
744	MEDIAEVAL00744	0	-1
745	MEDIAEVAL00745	0	0
746	MEDIAEVAL00746	-1	0
747	MEDIAEVAL00747	0	0
748	MEDIAEVAL00748	0	0
749	MEDIAEVAL00749	0	0
750	MEDIAEVAL00750	0	0
